Lat,lng,popup,
63.615623,-19.988569,Seljalandsfoss,
64.255857,-21.130362,Þingvellir,
64.327072,-20.119948,Gullfoss,
64.078446,-16.230554,Jökulsárlón,
63.880391,-22.449509,Blue Lagoon,
64.245157,-21.658578,Esja,
64.164301,-21.852902,Viðey,
64.699512,-20.870392,Húsafell,
65.152425,-13.684965,Neskaupsstaður,
64.840202,-23.360710,Búðir,
65.373852,-22.919174,Flatey,
66.061106,-23.188860,Ísafjörður,
65.660092,-20.279659,Blöndós,
65.603860,-16.996105,Mývatn,
65.746246,-14.861360,Vopnafjörður,
